user_id;help_request_id;applied_at
1;29408;1586538625304
2;21584;1588229280804
3;23195;1588032140910
4;21921;1585723460640
5;22296;1586985864428
6;23414;1587487478054
7;29423;1587040335238
8;21817;1587969455089
9;27167;1588080852996
10;27160;1586885320683
11;29897;1588247545364
12;20789;1585701429430
13;24758;1586845670191
14;28083;1586342267309
15;23864;1587997209413
16;20738;1587380461901
17;20498;1586859457611
18;24765;1586316621470
19;20992;1585761193373
20;26619;1586102871685
21;25784;1587547486831
22;26209;1587255108605
23;29148;1587335593075
24;28501;1585948576835
25;21210;1586436075688
26;24466;1586892223531
27;27469;1586189516244
28;27025;1585807428302
29;26298;1585871056341
30;27954;1586808462795
31;22466;1586069601168
32;24843;1587409097620
33;29371;1588166773451
34;25125;1587632943428
35;26538;1586188043499
36;22078;1588239424105
37;23334;1586202075397
38;25826;1586314261369
39;28051;1587285791598
40;23316;1587622616967
41;24942;1586755225790
42;28228;1586928935162
43;22393;1586254073863
44;29720;1587831396678
45;29441;1586902570242
46;26105;1586231015363
47;26603;1586200849928
48;20566;1586406090755
49;22716;1588098358016
50;28159;1586506424645
51;22968;1586374085158
52;29138;1586643370281
53;23868;1586083491771
54;27347;1587368124800
55;24582;1586593982079
56;28958;1586923466146
57;24876;1586985374269
58;27865;1587417127632
59;29283;1588149387768
60;24051;1585959529560
61;23830;1586709005364
62;22262;1587643795203
63;24563;1587791838589
64;27911;1586094934566
65;23871;1586985679565
66;21617;1585763792995
67;26541;1587278872308
68;29469;1586326196458
69;27280;1586234353165
70;27645;1588255645805
71;20687;1586611100171
72;29656;1585866311442
73;25755;1587981845930
74;26071;1588283376127
75;27935;1586316739039
76;26036;1587664970677
77;29588;1586414664110
78;23865;1586606146345
79;22152;1586619888328
80;21834;1586076007880
81;28512;1587910010722
82;21222;1587246896240
83;25083;1587621860967
84;28345;1588234585679
85;29987;1587318075444
86;20778;1588176934944
87;24833;1587277161440
88;23111;1586666837925
89;24862;1586787582251
90;22922;1587037564802
91;27338;1586239356560
92;26846;1586383014894
93;25208;1587907877366
94;20555;1588160627279
95;21342;1587271203978
96;23347;1585989716126
97;24376;1586204304591
98;22829;1586844977749
99;22962;1586495811449
100;22538;1588153000486
101;21217;1585728104552
102;27723;1587806374221
103;25385;1587368372883
104;23916;1586156066938
105;22017;1587356850279
106;26104;1587337352956
107;24743;1585706443202
108;21605;1587229389914
109;29367;1586013727793
110;22212;1587858959380
111;27477;1586705577239
112;29966;1586821596877
113;20116;1588087476465
114;22333;1586468079435
115;22787;1587072871991
116;21393;1586238628623
117;27066;1587780981020
118;29531;1586588967604
