user_id;location_id
1;19
2;26
3;25
4;6
5;31
6;32
7;25
8;37
9;38
10;29
11;27
12;23
13;25
14;13
15;3
16;43
17;39
18;42
19;11
20;34
21;24
22;29
23;42
24;18
25;13
26;21
27;7
28;18
29;35
30;29
31;22
32;5
33;4
34;41
35;1
36;18
37;31
38;44
39;22
40;10
41;44
42;38
43;45
44;8
45;2
46;26
47;42
48;17
49;44
50;15
51;5
52;26
53;40
54;37
55;41
56;1
57;42
58;39
59;18
60;8
61;23
62;18
63;6
64;11
65;2
66;38
67;17
68;36
69;17
70;23
71;4
72;21
73;12
74;27
75;21
76;29
77;30
78;6
79;5
80;20
81;26
82;45
83;11
84;23
85;43
86;33
87;36
88;24
89;37
90;26
91;45
92;39
93;29
94;42
95;36
96;11
97;26
98;17
99;23
100;39
101;16
102;21
103;42
104;44
105;45
106;24
107;20
108;13
109;32
110;12
111;43
112;44
113;45
114;38
115;10
116;4
117;4
118;28
119;31
120;12
121;38
122;12
123;28
124;19
125;34
126;44
127;12
128;45
129;2
130;27
131;35
132;33
133;28
134;16
135;8
136;22
137;34
138;11
139;13
140;30
141;7
142;18
143;37
144;9
145;44
146;43
147;12
148;12
149;4
150;45
151;22
152;43
153;45
154;1
155;35
156;28
157;42
158;6
159;23
160;39
161;22
162;29
163;41
164;36
165;8
166;1
167;25
168;38
169;18
170;32
171;5
172;15
173;40
174;12
175;29
176;14
177;23
178;21
179;13
180;37
181;27
182;22
183;23
184;13
185;11
186;5
187;40
188;28
189;45
190;9
191;21
192;40
193;40
194;4
195;45
196;20
197;22
198;33
199;6
200;11
201;11
202;6
203;30
204;37
205;2
206;18
207;8
208;5
209;19
210;24
211;43
212;31
213;16
214;20
215;37
216;25
217;20
218;36
219;21
220;8
221;8
222;35
223;2
224;38
225;2
226;34
227;38
228;22
229;15
230;2
231;4
232;44
233;16
234;41
235;22
236;11
237;33
238;10
239;1
240;5
241;14
242;26
243;13
244;45
245;38
246;44
247;8
248;34
249;36
250;25
251;28
252;40
253;11
254;19
255;19
256;42
257;40
258;10
259;26
260;24
261;5
262;18
263;43
264;14
265;40
266;29
267;27
268;27
269;23
270;18
271;42
272;39
273;17
274;6
275;19
276;8
277;17
278;17
279;10
280;22
281;6
282;35
283;13
284;16
285;23
286;2
287;7
288;3
289;12
290;12
291;15
292;31
293;23
294;38
295;2
296;4
297;29
298;36
299;32
300;28
301;39
302;29
303;4
304;27
305;44
306;37
307;15
308;5
309;1
310;32
311;33
312;13
313;9
314;18
315;21
316;20
317;39
318;17
319;26
320;27
321;21
322;8
323;12
324;45
325;26
326;23
327;17
328;3
329;30
330;8
331;15
332;42
333;22
334;19
335;37
336;5
337;21
338;5
339;10
340;12
341;7
342;3
343;17
344;20
345;1
346;27
347;19
348;23
349;30
350;28
351;35
352;6
353;16
354;11
355;1
356;27
357;31
358;16
359;24
360;41
361;45
362;42
363;26
364;26
365;14
366;36
367;15
368;30
369;11
370;35
371;10
372;42
373;31
374;35
375;40
376;36
377;8
378;43
379;43
380;5
381;1
382;22
383;17
384;40
385;26
386;20
387;28
388;25
389;38
390;9
391;37
392;1
393;21
394;16
395;32
396;5
397;37
398;28
399;26
400;37
401;41
402;18
403;43
404;26
405;24
406;40
407;18
408;15
409;3
410;16
411;34
412;24
413;3
414;24
415;41
416;39
417;43
418;22
419;2
420;40
421;4
422;17
423;3
424;18
425;6
426;4
427;43
428;25
429;16
430;36
431;5
432;7
433;14
434;25
435;4
436;38
437;20
438;5
439;2
440;44
441;20
442;38
443;24
444;37
445;1
446;21
447;23
448;22
449;13
450;28
451;1
452;5
453;35
454;15
455;37
456;42
457;41
458;44
459;20
460;24
461;31
462;5
463;1
464;20
465;21
466;5
467;45
468;8
469;5
470;34
471;3
472;12
473;33
474;19
475;26
476;44
477;28
478;8
479;26
480;34
481;25
482;30
483;15
484;45
485;10
486;5
487;43
488;23
489;2
490;22
491;13
492;22
493;18
494;17
495;17
496;24
497;19
498;1
499;33
500;17
501;5
502;32
503;10
504;18
505;6
506;40
507;13
508;33
509;21
510;30
511;32
512;12
513;39
514;30
515;28
516;32
517;20
518;12
519;21
520;35
521;8
522;34
523;21
524;41
525;18
526;12
527;3
528;33
529;30
530;36
531;12
532;34
533;5
534;32
535;37
536;19
537;3
538;6
539;33
540;27
541;30
542;31
543;21
544;10
545;33
546;14
547;31
548;22
549;38
550;14
551;30
552;32
553;45
