user_id;skill_id
1;1
2;15
3;8
4;6
5;15
6;8
7;10
8;2
9;10
10;9
11;6
12;12
13;15
14;12
15;15
16;5
17;11
18;6
19;3
20;9
21;13
22;1
23;13
24;8
25;12
26;11
27;3
28;13
29;3
30;2
31;7
32;12
33;6
34;3
35;8
36;11
37;9
38;15
39;14
40;2
41;2
42;13
43;2
44;8
45;12
46;7
47;5
48;1
49;4
50;13
51;5
52;14
53;1
54;11
55;10
56;7
57;3
58;5
59;13
60;11
61;1
62;14
63;5
64;1
65;13
66;15
67;9
68;9
69;13
70;2
71;11
72;1
73;13
74;6
75;8
76;3
77;15
78;12
79;11
80;9
81;14
82;3
83;9
84;4
85;3
86;10
87;6
88;3
89;15
90;7
91;11
92;4
93;8
94;13
95;1
96;7
97;8
98;12
99;2
100;15
101;12
102;3
103;15
104;6
105;8
106;13
107;6
108;8
109;3
110;2
111;4
112;11
113;1
114;3
115;10
116;14
117;12
118;1
119;6
120;14
121;5
122;4
123;9
124;13
125;12
126;2
127;6
128;11
129;11
130;14
131;9
132;2
133;12
134;2
135;3
136;15
137;3
138;1
139;14
140;10
141;9
142;8
143;10
144;7
145;2
146;3
147;6
148;5
149;10
150;15
151;2
152;3
153;15
154;1
155;14
156;13
157;6
158;14
159;10
160;2
161;6
162;8
163;9
164;3
165;2
166;8
167;10
168;4
169;2
170;1
171;10
172;11
173;8
174;11
175;3
176;12
177;7
178;10
179;10
180;1
181;7
182;11
183;10
184;8
185;4
186;12
187;2
188;5
189;7
190;6
191;6
192;1
193;6
194;4
195;6
196;7
197;3
198;14
199;15
200;5
201;5
202;8
203;12
204;10
205;5
206;9
207;4
208;8
209;7
210;11
211;6
212;10
213;8
214;3
215;7
216;12
217;8
218;6
219;14
220;5
221;6
222;12
223;11
224;2
225;14
226;7
227;2
228;15
229;15
230;12
231;13
232;14
233;6
234;11
235;14
236;6
237;12
238;11
239;1
240;3
241;15
242;4
243;13
244;7
245;2
246;1
247;8
248;7
249;11
250;9
251;10
252;12
253;6
254;6
255;15
256;3
257;4
258;1
259;5
260;4
261;13
262;8
263;2
264;7
265;12
266;3
267;4
268;12
269;4
270;10
271;14
272;6
273;11
274;1
275;8
276;11
277;11
278;8
279;12
280;7
281;13
282;7
283;6
284;3
285;11
286;7
287;14
288;14
289;9
290;10
291;2
292;4
293;8
294;15
295;15
296;15
297;5
298;13
299;15
300;5
301;6
302;4
303;15
304;11
305;4
306;10
307;15
308;5
309;14
310;7
311;11
312;6
313;9
314;12
315;12
316;6
317;11
318;8
319;4
320;2
321;1
322;12
323;15
324;15
325;7
326;3
327;12
328;12
329;12
330;7
331;10
332;6
333;13
334;1
335;8
336;14
337;2
338;11
339;1
340;9
341;3
342;8
343;2
344;15
345;3
346;7
347;8
348;9
349;15
350;2
351;14
352;4
353;8
354;5
355;4
356;1
357;13
358;6
359;4
360;14
361;13
362;11
363;14
364;11
365;13
366;1
367;1
368;9
369;4
370;9
371;9
372;11
373;11
374;11
375;2
376;7
377;3
378;1
379;11
380;10
381;11
382;12
383;9
384;1
385;8
386;3
387;15
388;12
389;4
390;4
391;15
392;2
393;10
394;4
395;7
396;8
397;7
398;11
399;3
400;2
401;3
402;1
403;13
404;2
405;2
406;15
407;10
408;3
409;6
410;6
411;12
412;5
413;3
414;8
415;10
416;1
417;1
418;7
419;6
420;7
